part_id,cores,threads,base_clock_speed,max_boost_clock_speed,tdp,socket_type,cache_size,integrated_graphics,process_technology
1,24,32,3.2,6.0,125,LGA1700,36,true,10
2,24,32,3.2,6.0,125,LGA1700,36,false,10
3,20,28,3.4,5.6,125,LGA1700,33,true,10
4,20,28,3.4,5.6,125,LGA1700,33,false,10
5,14,20,3.5,5.3,125,LGA1700,24,true,10
6,14,20,3.5,5.3,125,LGA1700,24,false,10
7,96,192,2.5,5.1,350,sTR5,480,false,5
8,64,128,3.2,5.1,350,sTR5,320,false,5
9,16,32,4.0,5.7,170,AM5,80,true,5
10,8,16,4.5,5.5,65,AM5,40,true,5

